type,count
PERSON,805
EVENT,124
EMOTION,178
GOAL,294
ACTIVITY,397
CONCEPT,42
PROJECT,184
BUSINESS,83
EQUIPMENT,127
ROOM,63
FOOD,36
PRONOUN,366
LIFE_STAGE,40
MEMORY_TYPE,111
CULTURAL_ELEMENT,108
PERIOD,111
PERSONAL_GROWTH,57
SENTIMENT,91
PRODUCT,76
TECHNOLOGY,100
SKILL,322
ORGANIZATION,184
TOPIC,120
INDUSTRY,84
RELATIONSHIP,45
TRAIT,67
GROUP,91
RELATIONSHIP_TYPE,45
ROLE,127
PLATFORM,61
MEDIA,68
GENRE,41
FREQUENCY,105
HEALTH_INFO,52
LOCATION,202
WEATHER,59
CONDITION,59
VEHICLE,80
BUDGET,55
AMOUNT,55
MONEY,75
TIMELINE,63
INTENT,84
TIME,47
OBJECT,20
NICKNAME,22
ATTRIBUTE,22
PET,22
HOBBY,43
PREFERENCE,65
BELIEF,45
GEOPOLITICAL_ENTITY,70
DURATION,62
COMMUNITY_ROLE,40
LEARNING_METHOD,80
SOUND,27
SIGHT,27
TASTE,27
SMELL,27
SENSATION,27
OPINION,39
VALUE,21
IDEA,18
FEELING,25
RECURRING_SCHEDULE,22
START_TIME,41
END_TIME,41
DATE,19
