type,count
CONTRIBUTED_TO,28
TRIGGERS,28
RESULTS_IN,113
FEELS_EMOTION,180
INFLUENCES,53
DOES_ACTIVITY,373
WORKS_ON,282
THINKS,100
REMEMBERS,103
LEARNS,124
REFLECTS_ON,129
IMPROVES,47
FEELS,152
HAPPENS_ON,130
CREATES,31
USES,498
HAS_SKILL,296
WORKS_FOR,204
INVESTIGATES,27
FOCUSES_ON,55
MAINTAINS_RELATIONSHIP,55
HAS_TRAIT,110
MEMBER_OF,133
IS_TYPE,109
CARES_FOR,31
SUPPORTS,31
CONTRIBUTES_TO,29
HAS_ROLE,185
ATTENDS,19
VISITS,19
TASTES,48
AT_LOCATION,208
PARTICIPATES_IN,44
HAS_HEALTH_CONDITION,35
STAYS_AT,35
IS_NEAR,35
LISTENS_TO,35
LOCATED_AT,62
AFFECTS,62
TRAVELS_TO,71
BUDGETS_FOR,63
SPENDS,58
EARNS,63
HAS_INTENT,78
AIMS_FOR,82
SCHEDULED_FOR,55
STARTS_AT,27
INTENDS,51
OWNS,97
BORROWED,26
LENT,26
RECEIVES,26
GIVES,26
HAS_OBJECT,26
MENTORS,25
TEACHES,25
FOLLOWS,25
ORGANIZES,25
CALLED,31
KNOWN_AS,31
HAS_ATTRIBUTE,31
CAUSED_BY,40
HAS_HOBBY,32
IS_FRIENDS_WITH,56
HAS_PREFERENCE,56
BELIEVES,57
ENJOYS,32
ACHIEVES,35
EVALUATES,46
HEARS,29
SEES,29
SMELLS,29
TOUCHES,29
HAS_GOAL,136
HAS_OPINION,50
VALUES,24
PLANS,51
THINKING_OF,26
CONSIDERING,26
DEVELOPS,49
HAS_HEALTH_INFO,31
HAS_FREQUENCY,31
MANAGES_HEALTH,31
LEARNS_FROM,75
WORKS_FROM,52
HAS_EXPERTISE,25
DREAMS_OF,27
LOOKING_FORWARD_TO,27
REGRETS,27
HOPES_FOR,27
MOVES_TO,27
FIXES,19
COLLABORATES_WITH,29
IS_FAMILY_WITH,29
LIVES_IN,29
MISSES,29
SAVES,31
WANTS_GOAL,31
LEADS,25
MASTERS,23
